Date,LIQ_Signal_Rank,LIQ_Target_500,MPC_Factor_Diff,MPC_Target_500,Fusion_Target_500,Actual_Position_500,Position_Change,Rebalance_Flag,Strategy_Return,Benchmark_Return,Cumulative_Strategy,Cumulative_Benchmark,Excess_Return,Drawdown
2023-06-19,,,1.6010485350838253,0.42,,0.5,0.0,False,-0.00605,-0.00605,0.99395,0.99395,0.0,0.0
2023-06-20,,,0.9934091091863515,0.42,,0.5,0.0,False,-0.0043974999999999995,-0.0043974999999999995,0.9895791048749999,0.9895791048749999,0.0,-0.004397500000000054
2023-06-21,,,-0.8841733488115218,0.42,,0.5,0.0,False,-0.0114495,-0.0114495,0.9782489189137336,0.9782489189137336,0.0,-0.015796650823750147
2023-06-26,,,-1.1100981673568373,0.42,,0.5,0.0,False,-0.0147895,-0.0147895,0.9637811065274589,0.9637811065274589,0.0,-0.030352526256392287
2023-06-27,,,-1.0924515132414692,0.7619047619047619,,0.5,0.0,False,0.011975500000000002,0.011975500000000002,0.9753228671686783,0.9753228671686783,0.0,-0.018740512934575904
2023-06-28,,,-1.3351701458414076,0.8095238095238095,,0.5,0.0,False,0.003281,0.003281,0.9785229014958589,0.9785229014958589,0.0,-0.015521000557514153
2023-06-29,,,-0.3844502496207921,0.6190476190476191,,0.5,0.0,False,-0.0014010000000000001,-0.0014010000000000001,0.9771519909108631,0.9771519909108631,0.0,-0.016900255635733052
2023-06-30,,,0.7032183872286668,0.47619047619047616,,0.5,0.0,False,0.0065515,0.0065515,0.9835538021793157,0.9835538021793157,0.0,-0.01045947766053057
2023-07-03,,,0.0755876034318097,0.47619047619047616,,0.5,0.0,False,0.008446,0.008446,0.991860897592522,0.991860897592522,0.0,-0.0021018184088514857
2023-07-04,,,0.06116903102846438,0.47619047619047616,,0.5,0.0,False,-0.0009234999999999998,-0.0009234999999999998,0.9909449140535954,0.9909449140535954,0.0,-0.003023377379550829
2023-07-05,,,0.23613479924409392,0.42,,0.5,0.0,False,-0.0033815,-0.0033815,0.9875940338267232,0.9875940338267232,0.0,-0.0063946538289418875
2023-07-06,,,-0.23917777483840919,0.42,,0.5,0.0,False,-0.0043159999999999995,-0.0043159999999999995,0.9833315779767271,0.9833315779767271,0.0,-0.010683054503016098
2023-07-07,,,-0.7511690620004895,0.42,,0.5,0.0,False,0.0009325000000000002,0.0009325000000000002,0.9842485346731904,0.9842485346731904,0.0,-0.00976051645134024
2023-07-10,,,-1.0552120193888008,0.7619047619047619,,0.5,0.0,False,0.0041785,0.0041785,0.9883612171753224,0.9883612171753224,0.0,-0.00562280076933197
2023-07-11,,,-0.06486459139698286,0.5238095238095238,,0.5,0.0,False,0.0036235,0.0036235,0.9919425440457572,0.9919425440457572,0.0,-0.002019674987919662
2023-07-12,,,-0.04721133087551588,0.42,,0.5,0.0,False,-0.0063735,-0.0063735,0.9856203982412816,0.9856203982412816,0.0,-0.00838030258938427
